"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","condition","participant","participant_thoughts","participant_difficulties","stimulus","response","timeout","failed_images","failed_audio","failed_video","correct_response","correct_response_key","correct"
"true","1446","fullscreen","0","null","2452","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","","","","","","","","",""
"","2859","html-keyboard-response","1","2.0.0","5314","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","Welcome to the Size Stroop experiment. Press any key to begin."," ","","","","","","",""
"","null","html-keyboard-response","2","2.0.0","6317","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","This trial will be in fullscreen mode.","null","","","","","","",""
"","2338","survey-text","3","2.0.0","8660","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","","{""participant_id"":"" llama""}","","","","","","",""
"","8070","html-keyboard-response","4","2.0.0","16732","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","<p>In this experiment, two images will appear on the screen. Identify the <strong>smaller</strong> image.</p>
              <p>If the image on the left is smaller, press ""z"". If the image on the right is smaller, press ""m"".</p>
              <p>Press any key to begin.</p>"," ","","","","","","",""
"true","","preload","5","2.0.0","16933","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","","","false","[]","[]","[]","","",""
"","null","html-keyboard-response","6","2.0.0","17935","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","581","image-keyboard-response","7","2.0.0","18521","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","stimuli/36-Inongruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","8","2.0.0","19424","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","9","2.0.0","20427","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","790","image-keyboard-response","10","2.0.0","21219","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","stimuli/6-Inongruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","11","2.0.0","22121","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","12","2.0.0","23124","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","762","image-keyboard-response","13","2.0.0","23888","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","stimuli/32-Congruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","14","2.0.0","24790","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","15","2.0.0","25792","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","547","image-keyboard-response","16","2.0.0","26341","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","stimuli/16-Congruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","17","2.0.0","27243","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","18","2.0.0","28245","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","634","image-keyboard-response","19","2.0.0","28880","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","stimuli/5-Congruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","20","2.0.0","29782","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","21","2.0.0","30784","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","556","image-keyboard-response","22","2.0.0","31342","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","stimuli/15-Inongruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","23","2.0.0","32243","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","24","2.0.0","33245","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","846","image-keyboard-response","25","2.0.0","34093","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","stimuli/5-Congruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","26","2.0.0","34995","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","27","2.0.0","35998","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","501","image-keyboard-response","28","2.0.0","36500","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","stimuli/4-Inongruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","29","2.0.0","37402","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","30","2.0.0","38404","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","436","image-keyboard-response","31","2.0.0","38842","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","stimuli/34-Congruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","32","2.0.0","39744","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","33","2.0.0","40746","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","1377","image-keyboard-response","34","2.0.0","42125","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","stimuli/18-Congruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","35","2.0.0","43028","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","36","2.0.0","44031","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","633","image-keyboard-response","37","2.0.0","44665","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","stimuli/14-Inongruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","38","2.0.0","45567","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","39","2.0.0","46570","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","991","image-keyboard-response","40","2.0.0","47562","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","stimuli/18-Congruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","41","2.0.0","48464","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","42","2.0.0","49467","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","607","image-keyboard-response","43","2.0.0","50076","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","stimuli/11-Inongruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","44","2.0.0","50978","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","45","2.0.0","51980","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","488","image-keyboard-response","46","2.0.0","52469","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","stimuli/14-Congruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","47","2.0.0","53371","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","48","2.0.0","54373","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","431","image-keyboard-response","49","2.0.0","54805","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","stimuli/4-Inongruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","50","2.0.0","55707","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","51","2.0.0","56710","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","736","image-keyboard-response","52","2.0.0","57447","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","stimuli/10-Congruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","53","2.0.0","58349","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","54","2.0.0","59352","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","598","image-keyboard-response","55","2.0.0","59951","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","stimuli/3-Inongruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","56","2.0.0","60853","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","57","2.0.0","61856","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","561","image-keyboard-response","58","2.0.0","62418","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","stimuli/27-Inongruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","59","2.0.0","63321","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","60","2.0.0","64322","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","485","image-keyboard-response","61","2.0.0","64808","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","stimuli/5-Inongruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","62","2.0.0","65711","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","63","2.0.0","66713","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","832","image-keyboard-response","64","2.0.0","67547","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","stimuli/14-Inongruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","65","2.0.0","68449","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","66","2.0.0","69452","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","19193","image-keyboard-response","67","2.0.0","88647","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","stimuli/17-Inongruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","68","2.0.0","89549","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","69","2.0.0","90551","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","6403","image-keyboard-response","70","2.0.0","96955","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","stimuli/27-Congruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","71","2.0.0","97857","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","72","2.0.0","98858","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","12745","image-keyboard-response","73","2.0.0","111605","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","stimuli/11-Inongruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","74","2.0.0","112507","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","75","2.0.0","113509","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","1371","image-keyboard-response","76","2.0.0","114882","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","stimuli/7-Congruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","77","2.0.0","115784","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","78","2.0.0","116786","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","4468","image-keyboard-response","79","2.0.0","121255","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","stimuli/15-Inongruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","80","2.0.0","122158","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","81","2.0.0","123160","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","538","image-keyboard-response","82","2.0.0","123700","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","stimuli/15-Congruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","83","2.0.0","124602","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","84","2.0.0","125604","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","505","image-keyboard-response","85","2.0.0","126111","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","stimuli/35-Congruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","86","2.0.0","127012","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","87","2.0.0","128014","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","390","image-keyboard-response","88","2.0.0","128407","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","stimuli/26-Inongruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","89","2.0.0","129310","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","90","2.0.0","130312","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","488","image-keyboard-response","91","2.0.0","130803","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","stimuli/1-Congruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","92","2.0.0","131705","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","93","2.0.0","132708","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","492","image-keyboard-response","94","2.0.0","133201","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","stimuli/26-Congruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","95","2.0.0","134104","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","96","2.0.0","135106","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","944","image-keyboard-response","97","2.0.0","136052","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","stimuli/7-Congruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","98","2.0.0","136955","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","99","2.0.0","137957","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","604","image-keyboard-response","100","2.0.0","138562","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","stimuli/15-Congruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","101","2.0.0","139464","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","102","2.0.0","140467","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","480","image-keyboard-response","103","2.0.0","140948","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","stimuli/35-Congruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","104","2.0.0","141850","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","105","2.0.0","142852","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","406","image-keyboard-response","106","2.0.0","143259","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","stimuli/7-Inongruent.jpg","m","","","","","left","z","false"
"","1797","html-keyboard-response","107","2.0.0","145057","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","<p>Incorrect.</p><p>Remember to select the <b>smaller</b> image.</p><p>Continuing in 5 seconds...</p>"," ","","","","","","",""
"","null","html-keyboard-response","108","2.0.0","146060","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","454","image-keyboard-response","109","2.0.0","146515","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","stimuli/13-Congruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","110","2.0.0","147418","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","111","2.0.0","148420","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","1121","image-keyboard-response","112","2.0.0","149542","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","stimuli/17-Congruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","113","2.0.0","150444","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","114","2.0.0","151447","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","459","image-keyboard-response","115","2.0.0","151907","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","stimuli/33-Congruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","116","2.0.0","152810","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","117","2.0.0","153811","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","432","image-keyboard-response","118","2.0.0","154244","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","stimuli/8-Congruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","119","2.0.0","155146","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","120","2.0.0","156148","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","416","image-keyboard-response","121","2.0.0","156565","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","stimuli/9-Inongruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","122","2.0.0","157468","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","123","2.0.0","158471","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","534","image-keyboard-response","124","2.0.0","159007","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","stimuli/28-Congruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","125","2.0.0","159909","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","126","2.0.0","160912","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","509","image-keyboard-response","127","2.0.0","161422","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","stimuli/25-Congruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","128","2.0.0","162324","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","129","2.0.0","163327","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","14193","image-keyboard-response","130","2.0.0","177522","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","stimuli/11-Congruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","131","2.0.0","178424","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","132","2.0.0","179426","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","558","image-keyboard-response","133","2.0.0","179985","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","stimuli/28-Inongruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","134","2.0.0","180887","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","135","2.0.0","181890","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","15762","image-keyboard-response","136","2.0.0","197653","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","stimuli/33-Inongruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","137","2.0.0","198556","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","138","2.0.0","199558","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","447","image-keyboard-response","139","2.0.0","200008","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","stimuli/3-Congruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","140","2.0.0","200909","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","141","2.0.0","201911","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","398","image-keyboard-response","142","2.0.0","202309","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","stimuli/13-Congruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","143","2.0.0","203211","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","144","2.0.0","204214","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","370","image-keyboard-response","145","2.0.0","204585","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","stimuli/2-Congruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","146","2.0.0","205487","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","147","2.0.0","206489","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","408","image-keyboard-response","148","2.0.0","206898","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","stimuli/24-Inongruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","149","2.0.0","207801","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","150","2.0.0","208803","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","361","image-keyboard-response","151","2.0.0","209165","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","stimuli/35-Inongruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","152","2.0.0","210067","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","153","2.0.0","211070","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","298","image-keyboard-response","154","2.0.0","211369","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","stimuli/16-Congruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","155","2.0.0","212273","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","156","2.0.0","213275","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","486","image-keyboard-response","157","2.0.0","213762","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","stimuli/33-Inongruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","158","2.0.0","214664","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","159","2.0.0","215666","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","393","image-keyboard-response","160","2.0.0","216061","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","stimuli/11-Congruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","161","2.0.0","216962","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","162","2.0.0","217964","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","687","image-keyboard-response","163","2.0.0","218653","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","stimuli/24-Congruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","164","2.0.0","219555","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","165","2.0.0","220557","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","344","image-keyboard-response","166","2.0.0","220903","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","stimuli/10-Inongruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","167","2.0.0","221805","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","168","2.0.0","222807","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","384","image-keyboard-response","169","2.0.0","223193","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","stimuli/2-Inongruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","170","2.0.0","224096","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","171","2.0.0","225098","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","364","image-keyboard-response","172","2.0.0","225464","p0uwu2pmdrx","smaller"," llama","how we percieve size","no","stimuli/29-Congruent.jpg","m","","","","","right","m","true"
