"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","condition","participant","participant_thoughts","participant_difficulties","stimulus","response","timeout","failed_images","failed_audio","failed_video","correct_response","correct_response_key","correct"
"true","2466","fullscreen","0","null","3471","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","","","","","","","","",""
"","21733","html-keyboard-response","1","2.0.0","25206","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","Welcome to the Size Stroop experiment. Press any key to begin."," ","","","","","","",""
"","null","html-keyboard-response","2","2.0.0","26208","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","This trial will be in fullscreen mode.","null","","","","","","",""
"","18621","survey-text","3","2.0.0","44834","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","","{""participant_id"":""shrew123""}","","","","","","",""
"","12953","html-keyboard-response","4","2.0.0","57788","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","<p>In this experiment, two images will appear on the screen. Identify the <strong>larger</strong> images.</p>
              <p>If the image on the left is larger, press ""z"". If the image on the right is larger, press ""m"".</p>
              <p>Press any key to begin.</p>","m","","","","","","",""
"true","","preload","5","2.0.0","61857","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","","","false","[]","[]","[]","","",""
"","null","html-keyboard-response","6","2.0.0","62861","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","1294","image-keyboard-response","7","2.0.0","64160","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","stimuli/4-Inongruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","8","2.0.0","65064","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","9","2.0.0","66068","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","877","image-keyboard-response","10","2.0.0","66947","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","stimuli/2-Congruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","11","2.0.0","67851","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","12","2.0.0","68855","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","1138","image-keyboard-response","13","2.0.0","69996","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","stimuli/35-Inongruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","14","2.0.0","70898","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","15","2.0.0","71902","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","1039","image-keyboard-response","16","2.0.0","72944","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","stimuli/19-Congruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","17","2.0.0","73847","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","18","2.0.0","74850","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","1028","image-keyboard-response","19","2.0.0","75880","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","stimuli/17-Congruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","20","2.0.0","76783","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","21","2.0.0","77786","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","1282","image-keyboard-response","22","2.0.0","79070","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","stimuli/13-Congruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","23","2.0.0","79973","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","24","2.0.0","80977","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","672","image-keyboard-response","25","2.0.0","81651","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","stimuli/29-Inongruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","26","2.0.0","82554","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","27","2.0.0","83557","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","713","image-keyboard-response","28","2.0.0","84272","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","stimuli/15-Congruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","29","2.0.0","85174","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","30","2.0.0","86177","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","1048","image-keyboard-response","31","2.0.0","87227","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","stimuli/11-Congruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","32","2.0.0","88131","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","33","2.0.0","89134","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","761","image-keyboard-response","34","2.0.0","89898","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","stimuli/24-Congruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","35","2.0.0","90801","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","36","2.0.0","91803","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","745","image-keyboard-response","37","2.0.0","92550","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","stimuli/34-Inongruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","38","2.0.0","93453","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","39","2.0.0","94457","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","718","image-keyboard-response","40","2.0.0","95176","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","stimuli/25-Congruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","41","2.0.0","96079","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","42","2.0.0","97083","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","624","image-keyboard-response","43","2.0.0","97709","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","stimuli/31-Inongruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","44","2.0.0","98612","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","45","2.0.0","99615","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","693","image-keyboard-response","46","2.0.0","100310","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","stimuli/25-Inongruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","47","2.0.0","101213","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","48","2.0.0","102215","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","670","image-keyboard-response","49","2.0.0","102887","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","stimuli/4-Congruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","50","2.0.0","103789","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","51","2.0.0","104793","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","705","image-keyboard-response","52","2.0.0","105500","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","stimuli/11-Inongruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","53","2.0.0","106404","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","54","2.0.0","107407","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","715","image-keyboard-response","55","2.0.0","108124","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","stimuli/9-Congruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","56","2.0.0","109026","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","57","2.0.0","110029","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","716","image-keyboard-response","58","2.0.0","110747","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","stimuli/7-Inongruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","59","2.0.0","111650","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","60","2.0.0","112653","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","700","image-keyboard-response","61","2.0.0","113356","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","stimuli/9-Inongruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","62","2.0.0","114257","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","63","2.0.0","115260","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","649","image-keyboard-response","64","2.0.0","115911","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","stimuli/6-Congruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","65","2.0.0","116814","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","66","2.0.0","117816","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","782","image-keyboard-response","67","2.0.0","118600","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","stimuli/35-Congruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","68","2.0.0","119502","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","69","2.0.0","120506","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","543","image-keyboard-response","70","2.0.0","121050","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","stimuli/26-Inongruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","71","2.0.0","121953","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","72","2.0.0","122956","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","650","image-keyboard-response","73","2.0.0","123608","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","stimuli/4-Inongruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","74","2.0.0","124511","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","75","2.0.0","125515","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","602","image-keyboard-response","76","2.0.0","126119","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","stimuli/12-Congruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","77","2.0.0","127021","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","78","2.0.0","128023","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","604","image-keyboard-response","79","2.0.0","128628","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","stimuli/3-Inongruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","80","2.0.0","129530","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","81","2.0.0","130532","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","584","image-keyboard-response","82","2.0.0","131118","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","stimuli/5-Congruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","83","2.0.0","132021","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","84","2.0.0","133024","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","556","image-keyboard-response","85","2.0.0","133582","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","stimuli/14-Inongruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","86","2.0.0","134485","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","87","2.0.0","135488","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","552","image-keyboard-response","88","2.0.0","136042","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","stimuli/6-Inongruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","89","2.0.0","136944","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","90","2.0.0","137947","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","958","image-keyboard-response","91","2.0.0","138907","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","stimuli/16-Inongruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","92","2.0.0","139809","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","93","2.0.0","140812","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","637","image-keyboard-response","94","2.0.0","141450","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","stimuli/11-Congruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","95","2.0.0","142353","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","96","2.0.0","143355","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","644","image-keyboard-response","97","2.0.0","144001","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","stimuli/4-Congruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","98","2.0.0","144903","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","99","2.0.0","145906","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","669","image-keyboard-response","100","2.0.0","146577","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","stimuli/23-Congruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","101","2.0.0","147480","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","102","2.0.0","148484","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","813","image-keyboard-response","103","2.0.0","149299","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","stimuli/20-Congruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","104","2.0.0","150203","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","105","2.0.0","151206","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","739","image-keyboard-response","106","2.0.0","151947","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","stimuli/31-Congruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","107","2.0.0","152850","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","108","2.0.0","153853","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","692","image-keyboard-response","109","2.0.0","154548","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","stimuli/28-Congruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","110","2.0.0","155450","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","111","2.0.0","156454","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","806","image-keyboard-response","112","2.0.0","157262","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","stimuli/16-Congruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","113","2.0.0","158165","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","114","2.0.0","159167","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","640","image-keyboard-response","115","2.0.0","159809","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","stimuli/17-Inongruent.jpg","m","","","","","right","m","true"
"","null","html-keyboard-response","116","2.0.0","160712","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","<p>Correct!</p>","null","","","","","","",""
"","null","html-keyboard-response","117","2.0.0","161715","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","650","image-keyboard-response","118","2.0.0","162367","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","stimuli/31-Congruent.jpg","z","","","","","left","z","true"
"","null","html-keyboard-response","119","2.0.0","163270","phpbsvpjdr8","bigger","shrew123","to test reflexes","no","<p>Correct!</p>","null","","","","","","",""
